"时间","北京市","天津市","河北省","山西省","内蒙古自治区","辽宁省","吉林省","黑龙江省","上海市","江苏省","浙江省","安徽省","福建省","江西省","山东省","河南省","湖北省","湖南省","广东省","广西壮族自治区","海南省","重庆市","四川省","贵州省","云南省","西藏自治区","陕西省","甘肃省","青海省","宁夏回族自治区","新疆维吾尔自治区"
"2003年","5267 ","2258 ","6334 ","2854 ","2388 ","5906 ","2141 ","3610 ","6804 ","12443 ","9753 ","4308 ","5000 ","2813 ","10903 ","6942 ","4758 ","4660 ","15980 ","2798 ","714 ","2616 ","5346 ","1429 ","2633 ","186 ","2588 ","1400 ","385 ","443 ","1889 "
"2004年","6252 ","2621 ","7589 ","3496 ","2942 ","6470 ","2455 ","4135 ","8102 ","14823 ","11482 ","5129 ","5712 ","3398 ","13308 ","8411 ","5547 ","5543 ","18658 ","3305 ","803 ","3060 ","6304 ","1649 ","3136 ","218 ","3142 ","1654 ","444 ","520 ","2170 "
"2005年","7150 ","3159 ","8773 ","4079 ","3524 ","7261 ","2776 ","4756 ","9197 ","18121 ","13028 ","5676 ","6416 ","3941 ","15948 ","10244 ","6470 ","6370 ","21963 ","3742 ","885 ","3448 ","7196 ","1940 ","3498 ","243 ","3817 ","1865 ","499 ","580 ","2520 "
"2006年","8387 ","3538 ","10043 ","4714 ","4162 ","8390 ","3226 ","5330 ","10599 ","21241 ","15303 ","6500 ","7469 ","4697 ","18968 ","11978 ","7532 ","7432 ","25961 ","4418 ","1028 ","3900 ","8495 ","2264 ","4091 ","286 ","4596 ","2203 ","585 ","683 ","2957 "
"2007年","10426 ","4158 ","12153 ","5936 ","5167 ","10292 ","4080 ","6126 ","12879 ","25988 ","18640 ","7942 ","9326 ","5778 ","22718 ","14824 ","9451 ","9286 ","31743 ","5475 ","1234 ","4771 ","10562 ","2848 ","5077 ","344 ","5682 ","2675 ","720 ","878 ","3500 "
"2008年","11813 ","5182 ","14200 ","7223 ","6242 ","12138 ","4835 ","7134 ","14537 ","30946 ","21285 ","9518 ","10932 ","6934 ","27106 ","17736 ","11498 ","11307 ","36704 ","6455 ","1475 ","5900 ","12756 ","3504 ","6017 ","398 ","7178 ","3072 ","897 ","1139 ","4142 "
"2009年","12901 ","5710 ","15307 ","7148 ","7104 ","12816 ","5435 ","7219 ","15742 ","34472 ","22834 ","10865 ","12418 ","7630 ","29541 ","19181 ","13192 ","12773 ","39465 ","7113 ","1620 ","6651 ","14191 ","3857 ","6574 ","446 ","7998 ","3268 ","940 ","1267 ","4237 "
"2010年","14964 ","6831 ","18004 ","8904 ","8200 ","13896 ","6410 ","8308 ","17915 ","41384 ","27400 ","13250 ","15002 ","9383 ","33922 ","22655 ","16227 ","15574 ","45945 ","8552 ","2020 ","8065 ","17225 ","4519 ","7735 ","513 ","9845 ","3944 ","1144 ","1572 ","5360 "
"2011年","17189 ","8112 ","21385 ","10894 ","9458 ","16355 ","7735 ","9935 ","20010 ","48839 ","31855 ","16285 ","17918 ","11584 ","39065 ","26319 ","19942 ","18915 ","53073 ","10300 ","2464 ","10161 ","21051 ","5616 ","9523 ","612 ","12175 ","4817 ","1370 ","1932 ","6532 "
"2012年","19025 ","9043 ","23078 ","11683 ","10470 ","17849 ","8678 ","11016 ","21306 ","53702 ","34382 ","18342 ","20191 ","12808 ","42957 ","28962 ","22591 ","21207 ","57008 ","11304 ","2789 ","11595 ","23922 ","6742 ","11097 ","710 ","14142 ","5393 ","1528 ","2131 ","7412 "
"2013年","21135 ","9945 ","24260 ","11987 ","11392 ","19209 ","9428 ","11849 ","23204 ","59349 ","37335 ","20584 ","22504 ","14300 ","47344 ","31632 ","25378 ","23545 ","62503 ","12448 ","3116 ","13028 ","26518 ","7973 ","12826 ","828 ","15905 ","6014 ","1713 ","2328 ","8393 "
"2014年","22926 ","10641 ","25209 ","12095 ","12158 ","20026 ","9966 ","12171 ","25270 ","64830 ","40024 ","22520 ","24942 ","15668 ","50775 ","34575 ","28242 ","25881 ","68173 ","13588 ","3449 ","14624 ","28891 ","9173 ","14042 ","940 ","17402 ","6518 ","1848 ","2474 ","9264 "
"2015年","24779 ","10880 ","26398 ","11836 ","12949 ","20210 ","10018 ","11690 ","26887 ","71256 ","43508 ","23831 ","26820 ","16781 ","55289 ","37084 ","30344 ","28539 ","74732 ","14798 ","3734 ","16040 ","30342 ","10541 ","14960 ","1043 ","17899 ","6557 ","2011 ","2579 ","9307 "
"2016年","27041 ","11477 ","28474 ","11946 ","13789 ","20392 ","10427 ","11895 ","29887 ","77351 ","47254 ","26308 ","29609 ","18389 ","58762 ","40249 ","33353 ","30854 ","82163 ","16117 ","4090 ","18023 ","33138 ","11792 ","16369 ","1173 ","19046 ","6908 ","2258 ","2781 ","9631 "
"2017年","29883 ","12451 ","30641 ","14484 ","14898 ","21693 ","10922 ","12313 ","32925 ","85870 ","52403 ","29676 ","33842 ","20211 ","63012 ","44825 ","37235 ","33828 ","91649 ","17791 ","4498 ","20066 ","37905 ","13605 ","18486 ","1349 ","21474 ","7337 ","2465 ","3200 ","11160 "
"2018年","33106 ","13363 ","32495 ","15958 ","16141 ","23510 ","11254 ","12846 ","36012 ","93208 ","58003 ","34011 ","38688 ","22716 ","66649 ","49936 ","42022 ","36330 ","99945 ","19628 ","4911 ","21589 ","42902 ","15353 ","20881 ","1548 ","23942 ","8104 ","2748 ","3510 ","12809 "
"2019年","35445 ","14056 ","34979 ","16962 ","17212 ","24855 ","11727 ","13544 ","37988 ","98657 ","62462 ","36846 ","42327 ","24667 ","70540 ","53718 ","45429 ","39894 ","107987 ","21237 ","5331 ","23606 ","46364 ","16769 ","23224 ","1698 ","25793 ","8718 ","2941 ","3748 ","13597 "
"2020年","35943 ","14008 ","36014 ","17836 ","17258 ","25011 ","12256 ","13633 ","38963 ","102808 ","64689 ","38062 ","43609 ","25782 ","72798 ","54259 ","43004 ","41543 ","111152 ","22121 ","5566 ","25041 ","48502 ","17860 ","24556 ","1903 ","26014 ","8980 ","3010 ","3956 ","13801 "
"2021年","41046 ","15685 ","40397 ","22870 ","21166 ","27570 ","13164 ","14858 ","43653 ","117392 ","74041 ","42565 ","49566 ","29828 ","82875 ","58071 ","50091 ","45714 ","124720 ","25209 ","6504 ","28077 ","54088 ","19459 ","27162 ","2080 ","30122 ","10226 ","3385 ","4588 ","16312 "
"2022年","41611 ","16311 ","42370 ","25643 ","23159 ","28975 ","13070 ","15901 ","44653 ","122876 ","77715 ","45045 ","53110 ","32075 ","87435 ","61345 ","53735 ","48670 ","129119 ","26301 ","6818 ","29129 ","56750 ","20165 ","28954 ","2133 ","32773 ","11202 ","3610 ","5070 ","17741 "
